,2016-10-14,2016-11-14,2016-12-14,2017-01-14,2017-02-14,2017-03-14,2017-04-14,2017-05-14,2017-06-14,2017-07-14,2017-08-14,2017-09-14,2017-10-14,2017-11-14,2017-12-14,2018-01-14,2018-02-14,2018-03-14,2018-04-14,2018-05-14,2018-06-14,2018-07-14,2018-08-14,2018-09-14,2018-10-14,2018-11-14,2018-12-14,2019-01-14,2019-02-14,2019-03-14,2019-04-14,2019-05-14,2019-06-14,2019-07-14,2019-08-14,2019-09-14,2019-10-14,2019-11-14,2019-12-14,2020-01-14,2020-02-14,2020-03-14,2020-04-14,2020-05-14,2020-06-14,2020-07-14,2020-08-14,2020-09-14,2020-10-14,2020-11-14,2020-12-14,2021-01-14,2021-02-14,2021-03-14,2021-04-14,2021-05-14,2021-06-14,2021-07-14,2021-08-14,2021-09-14,2021-10-14,2021-11-14,2021-12-14,2022-01-14,2022-02-14,2022-03-14,2022-04-14,2022-05-14,2022-06-14,2022-07-14,2022-08-14,2022-09-14,2022-10-14,2022-11-14,2022-12-14,2023-01-14,2023-02-14,2023-03-14,2023-04-14,2023-05-14,2023-06-14,2023-07-14,2023-08-14,2023-09-14
갓노,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23232323232323,19.191919191919187,19.191919191919187,19.191919191919187,19.191919191919187
거북유방,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9668508287292825,10.276243093922654,4.25414364640884,9.88950276243094,4.25414364640884,8.56353591160221,4.25414364640884,2.099447513812155,4.25414364640884,4.25414364640884,6.408839779005526,2.9834254143646413,2.099447513812155,8.121546961325969,22.32044198895028
검수완박,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026540560170632502,0.002119834891573003,0.03158724484547654,0.0973248592980903,0.07002843306692372,0.8684787371467251,0.193683574007528,0.3260056002286921,0.12457581990155558,0.13974997314686366,0.12984414951144344,0.15315665011528382,0.08918651193955801,0.04498823861043402,0.025438018698876037,0.03132013428273142,0.022340672811725134,0.8049064232133857,56.83203462662206,20.89593429307485,2.691889102514193,1.616098469456476,1.58410771716515,1.557697870674159,0.9713390366174486,1.5090325994233826,0.4032460184897342,0.3776772861112169,0.3941756257633254,5.217214877944682,1.0098711560942981,0.36900471762719445,0.2562385945210509,0.2959641867250597,0.6814729272078253,0.17961196223397638
과천자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.33400442923294,1.7112945439903364,1.4093013891685124,8.616871350916048,23.978256492852836,1.5502315280853636,1.8723575598953095,5.939198711495874,0.765049325548621,14.093013891685125,14.254076907590097,0.765049325548621,1.7112945439903364
국힘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08452267870651156,0.7548749581029826,0.2701281220730048,0.24336702317219708,0.49190079316187685,0.49190079316187685,0.4495069731209933,0.787862649322295,1.72423614947531,0.9012661179316585,2.090280289390814,1.8417465194011342,1.9542226231971032,2.5348854770695803,4.443667224410362,11.878218452705056,4.008468165553166,4.395311773426229,3.1494633869747637,7.136469681132233,3.0030722271460872,3.5402814154766595,4.816997802145392,2.836014080047481,5.054270713686712,3.0164527765964917,2.1945425905538616,1.9408420737466994,1.987210314416416,2.010924357501785,3.1628439364251677,5.2543165520046315,2.16566180065101,2.0717329931229274,1.6572009215356631,2.07689973994041,2.2058034490022216,1.3726324045112321
국힘원탑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342622208424356,0.4452280113129839,19.323271651177297,38.37944067376623,24.666121714264552,3.0275618696614366,1.7809120452519356,5.788078074400244,1.1576156148800487,0.5342622208424356,0.5342622208424356,1.3356840339389517,0.4452280113129839,1.1576156148800487,0.8904560226259678
군캉스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022496733282057514,0.746905360767758,0.08998693312823006,0.09898735341648413,0.08548816213029557,0.22497021111296026,0.1619787822647222,0.09898735341648413,0.11698531570060718,0.10348612441441862,0.05399100855998398,0.09448570412616454,0.40494695566180544,0.6299200450671508,0.2429681733970833,0.3509559471018215,0.2654649066791408,0.2654649066791408,1.1158592701537025,0.4544420715162401,0.36895390938594447,0.8863874097504226,0.7154110854898315,0.773903743340135,6.447697311404352,4.256470588370743,2.353205505298332,2.9516312750875557,2.6546692148381035,4.265468130366612,2.3307087720162745,1.583800532956131,1.3993250174093514,2.9966276199440562,1.8852642424959032,4.845895937871713,7.172108817182438,11.973011288490037,7.635551308986932,3.1586064022087785,2.6546692148381035,2.2317214185997902,2.074241407333002,1.4353209419775976,1.4083225594052202,2.5106855165651196,1.4983123708258357,1.3453311305569824,1.1968486612860638,1.8267715846455996,1.9257589380620836,2.0472430247606255,1.1338572324378255,0.4274465672362481
근처공장,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.107921194360157,8.107921194360157,17.567882984517233,13.513490149295018,6.756745074647509,13.513490149295018,17.567882984517233,8.107921194360157,6.756745074647509
꽈추,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6811376463328427,0.5241998581887768,0.4595414565607146,0.9837427919805087,2.057546450162901,1.764270299063499,1.6557351817590216,1.8450940397140858,4.955662462107732,3.37613171960814,4.960280286267872,6.553667455709918,6.687605037588218,4.521521992889822,4.860982294514691,5.43367816977104,7.010900000190562,3.6440054061337204,3.30916292866899,14.77231017319219,7.856087386132633,4.75244865444123,4.733974403338637,1.6003139056822564
노엘형,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.255174353716189,68.7946319199325,13.475096863175661,4.255174353716189,9.219922509459472
누칼협,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026606269048515797,0.09530391186915108,0.2864464223620985,0.10009688235839635,0.05164529757967318,0.027153762671535797,0.03407427416953422,0.013842623854543688,0.07134546285711213,7.020094504763283,16.008585468421057,12.014824398384151,7.882632287226168,11.107030344802038,8.787231027148785,5.94245576279541,7.072804373276606,4.51234638941803,5.961089756280652,3.7365959513550955,4.702424328977328,3.2680566718653483,1.3012594706591525
대깨윤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573627600827154,0.08654833504474109,0.055080515031207554,0.2517898801383638,0.039322945009393026,0.1495076350868559,0.10228224505150785,0.4485229052605677,0.10228224505150785,0.047201730020300287,0.5901754153515641,0.11016103006241511,0.10228224505150785,0.6452559303827717,2.9036753467375203,6.0119861636232,6.641508183999205,5.201465028131758,5.15423963809641,5.4926251733096105,6.6336293989882975,5.500480298305471,17.060195810284537,3.163367671901839,5.579173508354351,3.6591159671977556,4.627023522786961,4.021090537413582,3.3286092169954618,2.132524476285567,2.014484661212245,1.6288973959787438,1.5738168809475361,0.8341101704940684,0.91280338054295,0.4800143852891491,0.692457660403072,0.6059093253583309,0.4485229052605677,0.6059093253583309,0.2045881501180635
대해서도,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0
데뎃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.717077315208156,1.8579796986093098,3.717077315208156,1.8579796986093098,10.782319009077494,2.2302463891248934,2.2302463891248934,1.8579796986093098,1.8579796986093098,1.8579796986093098,1.8579796986093098,1.8579796986093098,1.8579796986093098,25.653982023878726,24.910566560837093,5.576174931807002,2.2302463891248934,2.2302463891248934,1.8579796986093098
동점골,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6816722773873205,2.7579960922176987,1.115590784193328,0.4027978752249024,0.15485775355627757,0.30980868265621114,0.15485775355627757,0.34083613869366025,0.5268145238310429,0.557748804324836,1.7353945005930622,1.146525064687121,2.6340726191552144,0.4027978752249024,0.34083613869366025,0.34083613869366025,1.5494161154556796,0.15485775355627757,0.15485775355627757,8.18109225962806,0.18588520959372667,0.30980868265621114,0.15485775355627757,0.278874402162418,0.49578706779359377,0.15485775355627757,0.15485775355627757,0.15485775355627757,0.7126997334247696,0.15485775355627757,0.37186359473110936,2.572110882623972,0.4647596117561447,4.7413307144793855,0.49578706779359377,0.21691266563117576,0.18588520959372667,9.575650621527464,49.73775743238018,0.4338253312623515,2.4791216900552806,0.557748804324836,0.5268145238310429,1.0845633281558789,0.15485775355627757
뒷세대,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.570993737301485,23.80966875423284,23.80966875423284,23.80966875423284
땀병,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85718362268717,28.571265509251337,17.85718362268717,17.85718362268717,17.85718362268717
똥트남,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.954471166767147,14.772719018529681,38.63649570352507,26.13640490735158,5.68184294441095,6.818066259415563
렉카유튜버,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11967552065457358,0.38894982479527995,0.12964887913347733,0.2293792765276673,0.06981032195747862,1.0770908417731297,3.8396330492557045,4.497855584494267,2.932082926834243,2.403510864426582,0.5584921378443723,1.4760140250473135,1.1867945976462233,2.3935375059476782,3.5803336972913256,10.042886716417224,8.526979257454295,2.563079818996771,0.967387085900036,0.5584921378443723,1.5557992991811198,1.057145718512746,2.463349421602581,4.567667500149169,4.438017027318268,3.121571956841143,2.3935375059476782,4.717263096240454,7.429940105025934,5.375487225176441,3.3509528270662345,3.001894842489146,3.420764742721137,4.507828942973171,1.057145718512746
